Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/options/,directory,options,options,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,6,0,25114,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/options/build-config-chain.js,file,build-config-chain.js,build-config-chain,.js,5343,2018-04-27,fd66708381d1aef0bc7b579db4d7bded3154b9c1,a4a8a620a646ee3f3286054a62a366dd,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/options/config.js,file,config.js,config,.js,4093,2018-04-27,a6c04fc9e581b284d4d710863d5be829335ea195,39b8b49be27b7ebff5b56347b0a2db2b,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/options/index.js,file,index.js,index,.js,1143,2018-04-27,989ec3b8a3f9438f0ee8e268e1e93b4082993214,8a7b185066729a370546c68df947d336,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/options/option-manager.js,file,option-manager.js,option-manager,.js,11895,2018-04-27,a22fca856855acfe24ca3dbc45074cf032237629,35b3f74d71698011815728653f4f7646,text/plain,"ASCII text, with very long lines",JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/options/parsers.js,file,parsers.js,parsers,.js,896,2018-04-27,afbcd5845410a9cf7dff50bf3ebc6f533f873c3d,986ba17edf59a1c08f2b778fdf8c2acc,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/file/options/removed.js,file,removed.js,removed,.js,1744,2018-04-27,893fcb335ad263ccc68a32e8e0cb36bf75099e22,ef2246210a46fd7f80c73ee640f61ba6,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/internal-plugins/,directory,internal-plugins,internal-plugins,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,2,0,4785,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/internal-plugins/block-hoist.js,file,block-hoist.js,block-hoist,.js,1096,2018-04-27,766e14d053c705b21afabb31264221196bd63fc8,12aade991077472bf330c0bd6aeaacd9,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
/babel-core-6.26.3.tgz-extract/package/lib/transformation/internal-plugins/shadow-functions.js,file,shadow-functions.js,shadow-functions,.js,3689,2018-04-27,4111148829f91e46194153e187e22af9167499d0,f8bdb55f7a145b39cac56406d406f1d5,text/plain,ASCII text,JavaScript,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
