Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author
/junit-4.12-sources.jar-extract/junit/runner/,directory,runner,runner,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,7,0,13047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/runner/BaseTestRunner.java,file,BaseTestRunner.java,BaseTestRunner,.java,9856,2014-12-04,58f78366e3b139bbe71fa8ae4e557e80d9cfe33e,7f72913a579635e367154418cf5b5769,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/runner/logo.gif,file,logo.gif,logo,.gif,964,2014-12-04,26fc9aa1c1c1001b31091eab3dd9eef221f5583d,893431c33109e8bbf736065d58841162,image/gif,"GIF image data, version 89a, 38 x 26",,True,False,False,True,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/runner/package-info.java,file,package-info.java,package-info,.java,66,2014-12-04,d2f325037935019bf97ffec4f67cde09d6a56363,c4d04a3d532cd70dc6dfbf4ffba31592,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/runner/smalllogo.gif,file,smalllogo.gif,smalllogo,.gif,883,2014-12-04,ed3682da09a3deac3555f31ffddf940bb08136f5,6fc137ce4b0180041030090b8833ef04,image/gif,"GIF image data, version 89a, 22 x 17",,True,False,False,True,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/runner/TestRunListener.java,file,TestRunListener.java,TestRunListener,.java,715,2014-12-04,b8cebe7893bd16b9d4801e0aece51df280bcb9f9,e6570a63a8b2a3e3e1650ba906d823af,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/runner/Version.java,file,Version.java,Version,.java,279,2014-12-04,c427d24fef2a42e3fab1fa9b629d7797dbcd1406,ab173dec598e05a1b526e148d30d3fc1,text/x-c,"C source, ASCII text",Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/runner/Version.java.template,file,Version.java.template,Version.java,.template,284,2014-12-04,89b2414f22e66d982604e37b9fecf06065654a0d,36268b21d3be5a3dbfd6fe4ce06fc9ca,text/x-c,"C source, ASCII text",Objective-C,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/textui/,directory,textui,textui,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,3,0,10027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/junit-4.12-sources.jar-extract/junit/textui/package-info.java,file,package-info.java,package-info,.java,90,2014-12-04,828ad7ce3b38e0b22ed38a51481b20181bad33d4,1dcc1019473dcf2b7ca34785311fb238,text/plain,ASCII text,Java,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
