Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,start_line,end_line,author,copyright_holder
/scala-library-2.13.0-M5-sources.jar-extract/scala/Dynamic.scala,file,Dynamic.scala,Dynamic,.scala,1604,2018-08-28,4739f2706072ea20bbad0cfaec605507e32d3d29,4b009bd21392a25cecead3798f237165,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Dynamic.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2010-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Enumeration.scala,file,Enumeration.scala,Enumeration,.scala,14517,2018-08-28,97369594a9d2deee9a82643d33e6f3ceb698bb75,f12168f64c1f293d7360eacb03272846,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Enumeration.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Enumeration.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,Matthias Zenger,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Equals.scala,file,Equals.scala,Equals,.scala,1251,2018-08-28,1036c4caae56889a4b26f905702ebfc5f906f8b5,adc2d4d65e554e218893066a57ffc01f,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Equals.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Float.scala,file,Float.scala,Float,.scala,11106,2018-08-28,2c4d078595a54e96d7a566b486f466ea16cfc5ab,d995b2e029717b621d03b54cd27990d7,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Float.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function.scala,file,Function.scala,Function,.scala,5337,2018-08-28,8a9cf319fcecc3b3cdce0fd272d0109b6dea6b2a,8581a739a3590cad4a40c63cfefe011f,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2003-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Martin Odersky,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function0.scala,file,Function0.scala,Function0,.scala,1332,2018-08-28,9b3e2b40f8da8300cdcd5d30e979238754b332ad,d97f8129831d131211280c253d618f09,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function0.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function1.scala,file,Function1.scala,Function1,.scala,2329,2018-08-28,6ddb32e25e4e56bdf6022aa3a4164c51c9d00c8b,e605430e90be900cd381ad348357fbc1,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function1.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function10.scala,file,Function10.scala,Function10,.scala,2010,2018-08-28,f8b2c68536a7609e4e419b633039649f402b2baa,4a9aa73191f4c068e078e6fd2d7dc6ef,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function10.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function11.scala,file,Function11.scala,Function11,.scala,2088,2018-08-28,a977c3cf9863427c794238c71b04c2ead6c29489,aa77c700b609ded172b20ea10eb8329f,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function11.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function12.scala,file,Function12.scala,Function12,.scala,2166,2018-08-28,316e02a84423eb4cb8278bb697c71a0fe0c82237,8dea90357ba05e7d6456d22786bc5cb9,text/plain,ASCII text,Scala,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/scala-library-2.13.0-M5-sources.jar-extract/scala/Function12.scala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(c) 2002-2013,3,3,,
