Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,author,start_line,end_line,copyright,copyright_holder
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations.rb,file,expectations.rb,expectations,.rb,3265,2018-10-09,e5aa0d75247e09ce58ea58aebe92e139b70c1ed8,0f35792df06061b76778dbc9d7437dba,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/matchers.rb,file,matchers.rb,matchers,.rb,39826,2018-10-09,cc1f979789626b1798dbbd2b6f77765f25e081fb,877166740818b2266e1d48a2e3c6a933,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/,directory,expectations,expectations,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,9,0,39657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/block_snippet_extractor.rb,file,block_snippet_extractor.rb,block_snippet_extractor,.rb,7335,2018-10-09,bb1e455219316969c46c7ba5dfa60500373b8f64,1ae3e048bb3614d5557527b4ad637af3,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/configuration.rb,file,configuration.rb,configuration,.rb,7667,2018-10-09,cd514622bb7a6d24f01f48da5eb033591c654dae,623c983c2ca7d40d8042f06812452478,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/expectation_target.rb,file,expectation_target.rb,expectation_target,.rb,4537,2018-10-09,a1334d917472fa1957b8ce5c42a07c07b7c22c99,a6c3ed48f966c2f8b42d0ea139a5ceff,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/fail_with.rb,file,fail_with.rb,fail_with,.rb,1255,2018-10-09,3503dc3f2f189f080673db2a740835fa336a1229,a1b21b2b822a20de816909a6ba793f0d,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/failure_aggregator.rb,file,failure_aggregator.rb,failure_aggregator,.rb,6792,2018-10-09,7355ca4168e4dc0ca49cd8942fceaeb9c19d3463,7c9e0d5c6dce56645431b128048a2e5d,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/handler.rb,file,handler.rb,handler,.rb,5517,2018-10-09,e5e9cfdf4f74f3c8543d84a84411a3ad76d00017,a95cb73f5a305e00c7d58d9d1df4537f,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/rspec-expectations-3.8.2.gem-extract/data.tar.gz-extract/lib/rspec/expectations/minitest_integration.rb,file,minitest_integration.rb,minitest_integration,.rb,1699,2018-10-09,3ea22af305acfa3911a8e87de554f0293db543d9,f70685208cbbac10a5892b834338ba61,text/x-ruby,"Ruby module source, ASCII text",Ruby,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
