Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,start_line,end_line,copyright_holder,author
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.vb,file,Program.vb,Program,.vb,1689,2018-03-13,d7d44de33a7ca35fa0a04d6f767156927e56667d,99069eff3acfb8edc9a2ce4593ba928b,text/plain,UTF-8 Unicode (with BOM) text,VB.net,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.vb,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,4,21,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.vb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2015 Charlie Poole, Rob Prouse",2,2,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/nuget/nunitlite/Program.vb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Charlie Poole, Rob Prouse",
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/,directory,src,src,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,772,53,4612397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/CommonAssemblyInfo.cs,file,CommonAssemblyInfo.cs,CommonAssemblyInfo,.cs,2945,2018-03-13,8b9229b95f5e0a40df3a1984d5d949a892f1ceef,ed1f70874048298b095cd08c4dc679cf,text/plain,ASCII text,C#,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/CommonAssemblyInfo.cs,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,4,21,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/CommonAssemblyInfo.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2014 Charlie Poole, Rob Prouse",2,2,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/CommonAssemblyInfo.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Copyright (c) 2018 Charlie Poole, Rob Prouse",31,31,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/CommonAssemblyInfo.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Charlie Poole, Rob Prouse",
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/CommonAssemblyInfo.cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,"Charlie Poole, Rob Prouse",
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/nunit.snk,file,nunit.snk,nunit,.snk,596,2018-03-13,f8cb939f4b38a0b663fb08ae7abbd1ab5e808e66,6b5986fa87984981b6d664d5c04e6fb2,application/octet-stream,data,,True,False,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/NUnitFramework/,directory,NUnitFramework,NUnitFramework,,0,,,,,,,False,False,False,False,False,False,False,False,False,False,770,52,4608856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/NUnitFramework/Directory.Build.props,file,Directory.Build.props,Directory.Build,.props,1740,2018-03-13,0b6c55096713416e79cae54066bb3e68ed607a6f,8a622f93aa42be3ccba19dcfe5861410,text/plain,"exported SGML document, ASCII text",,False,True,False,False,False,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/NUnitFramework/Fakes.cs,file,Fakes.cs,Fakes,.cs,4225,2018-03-13,46b97dc3a73310345a7057139eefc47ab35a504a,1ec2d2e2ad15e10504120534eba86c03,text/plain,ASCII text,C#,False,True,False,False,True,False,False,False,False,False,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/nunit-3.10.1.tar.gz.nupkg-extract/nunit-3.10.1/src/NUnitFramework/Fakes.cs,,,,,,,,,,,,,,,,,,,,,,,,,,mit,100.00,MIT License,MIT License,Permissive,False,MIT,http://opensource.org/licenses/mit-license.php,http://opensource.org/licenses/mit-license.php,https://enterprise.dejacode.com/urn/urn:dje:license:mit,MIT,https://spdx.org/licenses/MIT,mit.LICENSE,mit,[u'mit'],True,False,False,False,2-aho,163,163,100.00,100.00,,4,21,,
